NAME,VARLABEL,TYPE,TROLL,DISENGAGED,CONJUNCTIONS,CONJUNCTION NOTES,WHY TROLL? FIRST REVIEWER NOTES,WHY DISENGAGED? FIRST REVIEWER NOTES,CONJUNCTION/TROLL SECOND REVIEWER PASS/FAIL,SECOND REVIEWER PASS/FAIL REASONING
CNT,Country code 3-character,CHAR,0,0,,,,,,
CNTRYID,Country Identifier,NUM,0,0,,,,,,
CNTSCHID,Intl. School ID,NUM,0,0,,,,,,
CYC,PISA Assessment Cycle (2 digits + 2 character Assessment type - MS/FT),CHAR,0,0,,,,,,
STRATUM,Stratum ID 5-character (cnt + original stratum ID),CHAR,0,0,,,,,,
SUBNATIO,Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID),CHAR,0,0,,,,,,
REGION,REGION,NUM,0,0,,,,,,
OECD,OECD country,NUM,0,0,,,,,,
ADMINMODE,Mode of Respondent,NUM,0,0,,,,,,
LANGTEST_QQQ,Language of Questionnaire,NUM,0,0,,,,,,
LANGTEST_COG,Language of Assessment,NUM,0,0,,,,,,
LANGTEST_PAQ,Language of Parent Questionnaire,NUM,0,0,,,,,,
Option_CT,Creative Thinking Option,NUM,0,0,,,,,,
Option_FL,Financial Literacy Option,NUM,0,0,,,,,,
Option_ICTQ,ICT Questionnaire Option,NUM,0,0,,,,,,
Option_WBQ,Well-Being Questionnaire Option,NUM,0,0,,,,,,
Option_PQ,Parent Questionnaire Option,NUM,0,0,,,,,,
Option_TQ,Teacher Questionnaire Option,NUM,0,0,,,,,,
Option_UH,Une Heure Option,NUM,0,0,,,,,,
BOOKID,Form Identifier,NUM,0,0,,,,,,
ST001D01T,Student International Grade (Derived),NUM,0,2,,,,Question Style*,,
ST003D02T,Student (Standardized) Birth - Month,NUM,0,2,,,,Question Style*,,
ST003D03T,Student (Standardized) Birth -Year,NUM,0,2,,,,Question Style*,,
ST004D01T,Student (Standardized) Gender,NUM,0,0,,,,,,
ST250Q01JA,Which of the following are in your [home]: A room of your own,NUM,0,0,,,,,,
ST250Q02JA,"Which of the following are in your [home]: A computer (laptop, desktop, or tablet) that you can use for school work",NUM,0,0,,,,,,
ST250Q03JA,Which of the following are in your [home]: Educational Software or Apps,NUM,0,0,,,,,,
ST250Q04JA,Which of the following are in your [home]: Your own [cell phone] with Internet access (e.g. smartphone),NUM,0,0,,,,,,
ST250Q05JA,Which of the following are in your [home]: Internet access (e.g. Wi-fi) (excluding through smartphones),NUM,0,0,,,,,,
ST250D06JA,Which of the following are in your home? <Country-specific item 1>,CHAR,0,0,,,,,,
ST250D07JA,Which of the following are in your home? <Country-specific item 2>,CHAR,0,0,,,,,,
ST251Q01JA,"How many of these items are there at your [home]: Cars, vans, or trucks",NUM,0,1,,,,Question style†,,
ST251Q02JA,How many of these items are there at your [home]: Mopeds or motorcycles,NUM,0,1,,,,Question style†,,
ST251Q03JA,How many of these items are there at your [home]: Rooms with a bath or shower,NUM,1,1,,,pupils in developed countries should have baths/showers,Question style†,,
ST251Q04JA,How many of these items are there at your [home]: Rooms with a [flush toilet],NUM,1,1,,,pupils in developed countries should have flush toilets,Question style†,,
ST251Q06JA,"How many of these items are there at your [home]: Musical instruments (e.g. guitar, piano, [country-specific example])",NUM,0,1,,,,Question style†,,
ST251Q07JA,"How many of these items are there at your [home]: Works of art (e.g. paintings, sculptures, [country-specific example])",NUM,1,1,,,pupils from lower income backgrounds should be less likely to own a significant amount of art and sculpture,Question style†,,
ST251D08JA,How many of these items are there at your home? <Country-specific item 1>,CHAR,0,1,,,,Question style†,,
ST251D09JA,How many of these items are there at your home? <Country-specific item 2>,CHAR,0,1,,,,Question style†,,
ST253Q01JA,How many [digital devices] with screens are there in your [home]?,NUM,0,1,,,,Question style†,,
ST254Q01JA,How many of the following [digital devices] are in your [home]: Televisions,NUM,0,1,,,,Question style†,,
ST254Q02JA,How many of the following [digital devices] are in your [home]: Desktop computers,NUM,0,1,,,,Question style†,,
ST254Q03JA,How many of the following [digital devices] are in your [home]: Laptop computers or notebooks,NUM,0,1,,,,Question style†,,
ST254Q04JA,"How many of the following [digital devices] are in your [home]: Tablets (e.g. [iPad®], [BlackBerry® Playbook™])",NUM,0,1,,,,Question style†,,
ST254Q05JA,"How many of the following [digital devices] are in your [home]: E-book readers (e.g. [Kindle™], [Kobo], [Bookeen])",NUM,0,1,,,,Question style†,,
ST254Q06JA,How many of the following [digital devices] are in your [home]: [Cell phones] with Internet access (i.e. smartphones),NUM,0,1,,,,Question style†,,
ST255Q01JA,How many books are there in your [home]?,NUM,0,1,,,,Question style†,,
ST256Q01JA,"How many of these books at [home]: Religious books (e.g. [Bible], [Example 2])",NUM,0,1,,,,Question style†,,
ST256Q02JA,"How many of these books at [home]: Classical literature (e.g. [Shakespeare], [Example 2])",NUM,0,1,,,,Question style†,,
ST256Q03JA,How many of these books at [home]: Contemporary literature,NUM,0,1,,,,Question style†,,
ST256Q06JA,How many of these books at [home]: Books on science,NUM,0,1,,,,Question style†,,
ST256Q07JA,"How many of these books at [home]: Books on art, music, or design",NUM,0,1,,,,Question style†,,
ST256Q08JA,How many of these books at [home]: [Technical reference books],NUM,0,1,,,,Question style†,,
ST256Q09JA,How many of these books at [home]: Dictionaries,NUM,0,1,,,,Question style†,,
ST256Q10JA,How many of these books at [home]: Books to help with your school work,NUM,0,1,,,,Question style†,,
ST230Q01JA,"How many siblings (including brothers, sisters, step-brothers, and step-sisters) do you have?",NUM,0,0,,,,,,
ST005Q01JA,What is the [highest level of schooling] completed by your mother?,NUM,1,0,ST006Q01JA,,,,,
ST006Q01JA,Does your mother have any of the following qualifications: [ISCED level 8],NUM,1,0,ST005Q01JA,mother cannot have phd if she didn't pass high school,,,,
ST006Q02JA,Does your mother have any of the following qualifications: [ISCED level 7],NUM,0,0,,,,,,
ST006Q03JA,Does your mother have any of the following qualifications: [ISCED level 6],NUM,0,0,,,,,,
